Timestamp,Endpoint,Test Type,Location,Provider,Response Time (ms)
2025-12-28 21:32:57,Home Router,OTHER,Home Router,N/A,41
2025-12-28 21:32:57,GitHub,OTHER,GitHub,N/A,150
2025-12-28 21:32:57,Pune (India),OTHER,Pune (India),N/A,172
2025-12-28 21:32:57,Melbourne (Australia),OTHER,Melbourne (Australia),N/A,182
2025-12-28 21:32:57,"Ashburn (Virginia, USA)",OTHER,"Ashburn (Virginia, USA)",N/A,185
2025-12-28 21:32:57,Sydney (Australia),OTHER,Sydney (Australia),N/A,185
2025-12-28 21:32:57,Johannesburg (South Africa),OTHER,Johannesburg (South Africa),N/A,208
2025-12-28 21:32:57,Mastercard Website,OTHER,Mastercard Website,N/A,239
2025-12-28 21:32:57,Google,OTHER,Google,N/A,245
2025-12-28 21:32:57,Mexico City (Mexico),OTHER,Mexico City (Mexico),N/A,250
2025-12-28 21:32:57,"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,259
2025-12-28 21:32:57,London (UK),OTHER,London (UK),N/A,265
2025-12-28 21:32:57,Paris (France),OTHER,Paris (France),N/A,273
2025-12-28 21:32:57,George Maddaloni Website,OTHER,George Maddaloni Website,N/A,294
2025-12-28 21:32:57,Mumbai (India),OTHER,Mumbai (India),N/A,315
2025-12-28 21:32:57,São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,330
2025-12-28 21:32:57,MA Connect Website,OTHER,MA Connect Website,N/A,341
2025-12-28 21:32:57,Singapore (Singapore),OTHER,Singapore (Singapore),N/A,344
2025-12-28 21:32:57,Dubai (UAE),OTHER,Dubai (UAE),N/A,420
2025-12-28 21:32:57,Frankfurt (Germany),OTHER,Frankfurt (Germany),N/A,546
2025-12-28 21:32:58,Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,893
2025-12-28 21:32:58,Tokyo (Japan),OTHER,Tokyo (Japan),N/A,960
2025-12-28 21:32:58,"Dallas (Texas, USA)",OTHER,"Dallas (Texas, USA)",N/A,1013
2025-12-28 21:32:58,Bangkok (Thailand),OTHER,Bangkok (Thailand),N/A,1457
2025-12-28 21:32:58,Cape Town (South Africa),OTHER,Cape Town (South Africa),N/A,1509
2025-12-28 21:32:59,Router,OTHER,Router,N/A,675
2025-12-28 21:33:27,Melbourne (Australia),OTHER,Melbourne (Australia),N/A,37
2025-12-28 21:33:27,São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,38
2025-12-28 21:33:27,London (UK),OTHER,London (UK),N/A,39
2025-12-28 21:33:27,GitHub,OTHER,GitHub,N/A,39
2025-12-28 21:33:27,Sydney (Australia),OTHER,Sydney (Australia),N/A,38
2025-12-28 21:33:27,Pune (India),OTHER,Pune (India),N/A,39
2025-12-28 21:33:27,Mastercard Website,OTHER,Mastercard Website,N/A,42
2025-12-28 21:33:27,Mexico City (Mexico),OTHER,Mexico City (Mexico),N/A,43
2025-12-28 21:33:27,"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,46
2025-12-28 21:33:27,Johannesburg (South Africa),OTHER,Johannesburg (South Africa),N/A,47
2025-12-28 21:33:27,"Ashburn (Virginia, USA)",OTHER,"Ashburn (Virginia, USA)",N/A,49
2025-12-28 21:33:27,Paris (France),OTHER,Paris (France),N/A,61
2025-12-28 21:33:27,Home Router,OTHER,Home Router,N/A,62
2025-12-28 21:33:27,Google,OTHER,Google,N/A,74
2025-12-28 21:33:27,Mumbai (India),OTHER,Mumbai (India),N/A,96
2025-12-28 21:33:27,Singapore (Singapore),OTHER,Singapore (Singapore),N/A,182
2025-12-28 21:33:27,Dubai (UAE),OTHER,Dubai (UAE),N/A,221
2025-12-28 21:33:27,George Maddaloni Website,OTHER,George Maddaloni Website,N/A,239
2025-12-28 21:33:27,Cape Town (South Africa),OTHER,Cape Town (South Africa),N/A,245
2025-12-28 21:33:27,Tokyo (Japan),OTHER,Tokyo (Japan),N/A,252
2025-12-28 21:33:27,MA Connect Website,OTHER,MA Connect Website,N/A,372
2025-12-28 21:33:27,Frankfurt (Germany),OTHER,Frankfurt (Germany),N/A,533
2025-12-28 21:33:28,Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,810
2025-12-28 21:33:28,"Dallas (Texas, USA)",OTHER,"Dallas (Texas, USA)",N/A,922
2025-12-28 21:33:29,Router,OTHER,Router,N/A,673
2025-12-28 21:33:30,Bangkok (Thailand),OTHER,Bangkok (Thailand),N/A,3267
2025-12-28 21:33:57,São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,26
2025-12-28 21:33:57,London (UK),OTHER,London (UK),N/A,23
2025-12-28 21:33:57,GitHub,OTHER,GitHub,N/A,26
2025-12-28 21:33:57,Sydney (Australia),OTHER,Sydney (Australia),N/A,25
2025-12-28 21:33:57,Pune (India),OTHER,Pune (India),N/A,26
2025-12-28 21:33:57,Mastercard Website,OTHER,Mastercard Website,N/A,28
2025-12-28 21:33:57,Mexico City (Mexico),OTHER,Mexico City (Mexico),N/A,46
2025-12-28 21:33:57,Melbourne (Australia),OTHER,Melbourne (Australia),N/A,47
2025-12-28 21:33:57,Paris (France),OTHER,Paris (France),N/A,54
2025-12-28 21:33:57,"Ashburn (Virginia, USA)",OTHER,"Ashburn (Virginia, USA)",N/A,57
2025-12-28 21:33:57,Home Router,OTHER,Home Router,N/A,68
2025-12-28 21:33:57,Johannesburg (South Africa),OTHER,Johannesburg (South Africa),N/A,66
2025-12-28 21:33:57,Mumbai (India),OTHER,Mumbai (India),N/A,105
2025-12-28 21:33:57,Google,OTHER,Google,N/A,117
2025-12-28 21:33:57,"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,119
2025-12-28 21:33:57,Singapore (Singapore),OTHER,Singapore (Singapore),N/A,161
